Orthogroup	Species	Mycoplasma_genitalium	Orthologs
OG0000059	Mycoplasma_gallisepticum	gi|3844850|gb|AAC71472.1|	gi|31541729|gb|AAP57028.1|
OG0000060	Mycoplasma_hyopneumoniae	gi|1045727|gb|AAC71270.1|	gi|71852112|gb|AAZ44720.1|
OG0000060	Mycoplasma_agalactiae	gi|1045727|gb|AAC71270.1|	gi|290752309|emb|CBH40280.1|
OG0000060	Mycoplasma_gallisepticum	gi|1045727|gb|AAC71270.1|	gi|284812244|gb|AAP56997.2|
OG0000061	Mycoplasma_hyopneumoniae	gi|3845027|gb|AAC72455.1|	gi|71852014|gb|AAZ44622.1|
OG0000061	Mycoplasma_agalactiae	gi|3845027|gb|AAC72455.1|	gi|290752311|emb|CBH40282.1|
OG0000061	Mycoplasma_gallisepticum	gi|3845027|gb|AAC72455.1|	gi|284811883|gb|AAP56439.2|
OG0000062	Mycoplasma_hyopneumoniae	gi|3845028|gb|AAC72456.1|	gi|144227682|gb|AAZ44621.2|
OG0000062	Mycoplasma_agalactiae	gi|3845028|gb|AAC72456.1|	gi|290752312|emb|CBH40283.1|
OG0000062	Mycoplasma_gallisepticum	gi|3845028|gb|AAC72456.1|	gi|284811884|gb|AAP56440.2|
OG0000063	Mycoplasma_hyopneumoniae	gi|3845058|gb|AAC72483.1|	gi|144227742|gb|AAZ44735.2|
OG0000063	Mycoplasma_agalactiae	gi|3845058|gb|AAC72483.1|	gi|290752316|emb|CBH40287.1|
OG0000063	Mycoplasma_gallisepticum	gi|3845058|gb|AAC72483.1|	gi|284811837|gb|AAP56360.2|
OG0000064	Mycoplasma_hyopneumoniae	gi|1045677|gb|AAC71225.1|	gi|144227743|gb|AAZ44736.2|
OG0000064	Mycoplasma_agalactiae	gi|1045677|gb|AAC71225.1|	gi|290752317|emb|CBH40288.1|
OG0000064	Mycoplasma_gallisepticum	gi|1045677|gb|AAC71225.1|	gi|284812295|gb|AAP57068.2|
OG0000065	Mycoplasma_hyopneumoniae	gi|1045676|gb|AAC71224.1|	gi|71851688|gb|AAZ44296.1|
OG0000065	Mycoplasma_agalactiae	gi|1045676|gb|AAC71224.1|	gi|290752318|emb|CBH40289.1|
OG0000065	Mycoplasma_gallisepticum	gi|1045676|gb|AAC71224.1|	gi|284812296|gb|AAP57069.2|
OG0000066	Mycoplasma_hyopneumoniae	gi|1045673|gb|AAC71221.1|	gi|144227531|gb|AAZ44334.2|
OG0000066	Mycoplasma_agalactiae	gi|1045673|gb|AAC71221.1|	gi|290752321|emb|CBH40292.1|
OG0000066	Mycoplasma_gallisepticum	gi|1045673|gb|AAC71221.1|	gi|284812299|gb|AAP57072.2|
OG0000067	Mycoplasma_hyopneumoniae	gi|3845061|gb|AAC72486.1|	gi|71852151|gb|AAZ44759.1|
OG0000067	Mycoplasma_agalactiae	gi|3845061|gb|AAC72486.1|	gi|290752323|emb|CBH40294.1|
OG0000067	Mycoplasma_gallisepticum	gi|3845061|gb|AAC72486.1|	gi|31541055|gb|AAP56357.1|
